2023-01-12 16:12:05.133 [main] INFO  com.example.demo.ZzzzApplication - Starting ZzzzApplication using Java 16.0.1 on macdeMacBook-Pro.local with PID 14518 (/Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/yyyy/target/classes started by mac in /Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/yyyy)
2023-01-12 16:12:05.135 [main] INFO  com.example.demo.ZzzzApplication - The following 1 profile is active: "prod"
2023-01-12 16:12:05.642 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-01-12 16:12:05.658 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 JDBC repository interfaces.
2023-01-12 16:12:06.045 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9987 (http)
2023-01-12 16:12:06.056 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-01-12 16:12:06.057 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2023-01-12 16:12:06.146 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/aaa] - Initializing Spring embedded WebApplicationContext
2023-01-12 16:12:06.147 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 979 ms
2023-01-12 16:12:06.511 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-01-12 16:12:06.622 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-01-12 16:12:06.821 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9987 (http) with context path '/aaa'
2023-01-12 16:12:06.831 [main] INFO  com.example.demo.ZzzzApplication - Started ZzzzApplication in 2.08 seconds (JVM running for 7.543)
2023-01-12 19:20:13.663 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-01-12 19:20:13.674 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
