2023-01-12 14:43:13.631 [main] INFO  org22.example22.demo.MycrudApplication - Started MycrudApplication in 8.547 seconds (JVM running for 9.274)
2023-01-12 14:43:19.437 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-01-12 14:43:19.450 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-01-12 15:59:39.841 [main] INFO  org22.example22.demo.MycrudApplication - Starting MycrudApplication using Java 11.0.17 on macdeMacBook-Pro.local with PID 13744 (/Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/mycrud/target/classes started by mac in /Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/mycrud)
2023-01-12 15:59:39.844 [main] INFO  org22.example22.demo.MycrudApplication - The following 1 profile is active: "prod"
2023-01-12 15:59:40.338 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-01-12 15:59:40.346 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JDBC repository interfaces.
2023-01-12 15:59:40.711 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8066 (http)
2023-01-12 15:59:40.718 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-01-12 15:59:40.719 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2023-01-12 15:59:40.835 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mycrud] - Initializing Spring embedded WebApplicationContext
2023-01-12 15:59:40.835 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 956 ms
2023-01-12 15:59:41.386 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-01-12 15:59:41.524 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-01-12 15:59:41.759 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8066 (http) with context path '/mycrud'
2023-01-12 15:59:41.769 [main] INFO  org22.example22.demo.MycrudApplication - Started MycrudApplication in 2.401 seconds (JVM running for 8.051)
2023-01-12 15:59:56.828 [http-nio-8066-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mycrud] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-12 15:59:56.829 [http-nio-8066-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-01-12 15:59:56.831 [http-nio-8066-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-01-12 16:02:51.781 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-01-12 16:02:51.803 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-01-12 16:03:01.972 [main] INFO  org22.example22.demo.MycrudApplication - Starting MycrudApplication using Java 11.0.17 on macdeMacBook-Pro.local with PID 13906 (/Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/mycrud/target/classes started by mac in /Applications/XAMPP/xamppfiles/htdocs/my_practice22/my_java/mycrud)
2023-01-12 16:03:01.976 [main] INFO  org22.example22.demo.MycrudApplication - The following 1 profile is active: "prod"
2023-01-12 16:03:02.618 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-01-12 16:03:02.628 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JDBC repository interfaces.
2023-01-12 16:03:03.022 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8066 (http)
2023-01-12 16:03:03.029 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-01-12 16:03:03.030 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
